city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Kansas City,2038,1146626.0536880577,961651.0114696767,-184975.04221838096,-16.132115751549446
Kansas City,2039,1116665.3132764357,930305.1025555757,-186360.21072086005,-16.688994321320493
Kansas City,2040,1090463.9103799688,903569.0363448083,-186894.87403516052,-17.139024249783525
Kansas City,2041,1057216.6299704844,879136.9308535586,-178079.69911692583,-16.844201469087512
Kansas City,2042,1035772.663365919,856683.5931017947,-179089.0702641243,-17.290383942181286
Kansas City,2043,1015569.9412189332,836435.2441382803,-179134.69708065293,-17.638834097989086
Kansas City,2044,1003134.6174814224,818495.4025142723,-184639.21496715012,-18.40622502199408
Kansas City,2045,989780.7733605944,802435.215476988,-187345.5578836064,-18.92798515852289
Kansas City,2046,980367.8679640512,788645.3549091899,-191722.51305486134,-19.556180829652767
Kansas City,2047,970492.093678452,776927.9239867362,-193564.16969171574,-19.944950706197957
Kansas City,2048,968065.7802681644,767764.9173222029,-200300.86294596142,-20.690831865834156
Kansas City,2049,972433.9222240328,761027.8096482975,-211406.11257573531,-21.739894890979627
Kansas City,2050,979497.367861704,755803.6959510356,-223693.67191066837,-22.837598063076353
Lansing,2027,1603108.6910768675,255411.5415557206,-1347697.149521147,-84.06773396106092
Lansing,2028,1539102.1430715837,244097.34698612016,-1295004.7960854636,-84.14027632376786
Lansing,2029,1506549.9665316714,234499.53287223462,-1272050.4336594366,-84.43466608597844
Lansing,2030,1455393.219742279,225513.56841501244,-1229879.6513272666,-84.50497327073253
Lansing,2031,1408367.275946535,216784.4557240539,-1191582.8202224812,-84.6073918766426
Lansing,2032,1355844.0604569844,209384.7515835143,-1146459.3088734702,-84.55687068371701
Lansing,2033,1339843.91634235,202109.66322762868,-1137734.2531147213,-84.91543225576832
