city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Birmingham,Alabama,SRSE,2045,989780.7733605944,428728.0120165016,492042.94300730916,-561052.7613440928,-56.68454838126983,-497737.83035328524,-50.28768427813769,63314.93099080754,14.768088208887681,371326.7311073669,31099.057669776495,21099.191818662464,5203.031420695775,439443.7408447373,27446.27391960584,18303.201818256428,6849.726424709666
Birmingham,Alabama,SRSE,2046,980367.8679640512,418670.308498479,481651.5555189871,-561697.5594655722,-57.29457051994782,-498716.3124450641,-50.87032416522972,62981.247020508104,15.043160630708282,362075.3862077365,31232.352674059726,19572.235392456732,5790.3342242260105,428993.70384196495,28064.70270401323,16967.203774198206,7625.945198810756
Birmingham,Alabama,SRSE,2047,970492.093678452,409203.8144263564,471370.4940777766,-561288.2792520956,-57.835430387139695,-499121.59960067534,-51.429744029016966,62166.679651420214,15.192106588392573,353468.82647032157,31398.148245605462,18157.716538613407,6179.12317181595,418650.5974515998,28837.16573018087,15751.520680722537,8131.210215273446
Birmingham,Alabama,SRSE,2048,968065.7802681644,400983.1892884506,463486.1913488821,-567082.5909797137,-58.57893157039658,-504579.58891928225,-52.122448619091614,62503.00206043152,15.58743701234554,345600.50006655185,31602.68141074624,16846.343921158328,6933.663889994138,409958.2112257972,29793.584105236303,14613.77658062615,9120.619437222485
Birmingham,Alabama,SRSE,2049,972433.9222240328,394059.4084089917,457377.8898389822,-578374.5138150412,-59.476998960736914,-515056.0323850506,-52.96565870584574,63318.4814299905,16.068257749672266,338459.36645180424,31845.11340310436,15626.869178597974,8128.059375485106,402177.624774236,30957.593162847745,13555.64815430121,10687.023747597226
Birmingham,Alabama,SRSE,2050,979497.367861704,387953.74111636676,452142.19110919634,-591543.6267453372,-60.39256930692004,-527355.1767525077,-53.83936639909025,64188.449992829585,16.545387552681508,332002.50179572427,32124.339236423402,14490.054940155514,9336.84514406361,394953.2961289271,32350.496429203147,12571.491721651975,12266.906829414125
Buffalo,New York,NYUP,2027,1603108.6910768675,581635.5980921618,646165.6753813513,-1021473.0929847057,-63.71826805446014,-956943.0156955163,-59.69295912510475,64530.077289189445,11.094588691073284,528303.8731699657,17866.92656511482,34608.96956819378,855.8287888874571,600345.8230169667,14364.793083657269,30330.059948253762,1124.9993324735058
Buffalo,New York,NYUP,2028,1539102.1430715837,557295.0856094967,621059.3025174108,-981807.057462087,-63.79089665242725,-918042.8405541729,-59.64794764836311,63764.216907914146,11.441733213594942,506224.9719125018,18037.447079621863,32105.507032397156,927.1595849758801,577126.8324181923,14650.28819682272,28060.768348303183,1221.4135540925824
Buffalo,New York,NYUP,2029,1506549.9665316714,538146.61511858,609489.5469015791,-968403.3514130913,-64.27953754779982,-897060.4196300922,-59.544020414754286,71342.93178299908,13.257155165284972,489175.32545200916,18182.321331756313,29782.84777220043,1006.1205626141275,567213.9026212944,14990.915989044126,25967.255620452794,1317.4726707878865
Buffalo,New York,NYUP,2030,1455393.219742279,520110.138837101,590189.1819993883,-935283.0809051781,-64.2632567074071,-865204.0377428908,-59.44812893220026,70079.04316228727,13.473885227266468,472931.0137620954,18345.19182113509,27628.140300519368,1205.7929533510803,549060.1155768625,15430.946717585515,24109.551683363043,1588.568021577187
Buffalo,New York,NYUP,2031,1408367.275946535,502661.43694530486,572425.2406834635,-905705.8390012301,-64.30892384889614,-835942.0352630714,-59.35540036609071,69763.80373815866,13.8788851920124,457362.09096345253,18465.228541995933,25629.17186793818,1204.9455719182215,532610.8460744474,15868.611112434632,22353.71207487336,1592.0714217080751
Buffalo,New York,NYUP,2032,1355844.0604569844,487317.8775410385,553873.4812540167,-868526.182915946,-64.05797010485196,-801970.5792029677,-59.14917523278195,66555.60371297825,13.657533774219765,443546.5709492706,18620.792862637925,23775.02245155523,1375.4912775747293,515010.25390606973,16343.100422298072,20708.788920990548,1811.3380046583245
Buffalo,New York,NYUP,2033,1339843.91634235,472995.42256390397,549731.3598575568,-866848.493778446,-64.69772211563733,-790112.5564847932,-58.970492521377224,76735.9372936528,16.223399558012723,430601.181049479,18770.33917493868,22056.624611744308,1567.2777277419773,511543.2738020737,16981.91972170098,19155.215345951954,2050.950987830222
Buffalo,New York,NYUP,2034,1290575.3868787491,458887.1738343388,531717.9996842103,-831688.2130444103,-64.44321048581631,-758857.3871945388,-58.7999271417869,72830.8258498715,15.871183594284528,417704.628280045,18964.143328457845,20463.465373932686,1754.9368519032448,493816.01966029836,17807.22047723567,17803.354021311552,2291.405525364635
